date,cpu_equity,gpu_equity,cpu_gpu_diff_bps
2025-05-30,8163.6799743756,8163.6799743756,0.0000000000
2025-06-02,8394.5961965396,8394.5961965396,0.0000000000
2025-06-03,8738.8571660366,8738.8571660366,0.0000000000
2025-06-04,8882.3832854823,8882.3832854823,0.0000000000
2025-06-05,8726.8405525558,8726.8405525558,0.0000000000
2025-06-06,8953.1978525301,8953.1978525301,0.0000000000
2025-06-09,9199.6106910924,9199.6106910924,0.0000000000
2025-06-10,9505.2186832554,9505.2186832554,0.0000000000
2025-06-11,9410.0061618840,9410.0061618839,0.0000000000
2025-06-12,9471.4888891831,9471.4888891831,0.0000000000
2025-06-13,9005.4791197673,9005.4791197673,0.0000000000
2025-06-16,9491.6677344870,9491.6677344870,0.0000000000
2025-06-17,9246.5512901982,9246.5512901982,0.0000000000
2025-06-18,9265.1964670542,9265.1964670542,0.0000000000
2025-06-20,9147.7706109754,9147.7706109754,0.0000000000
2025-06-23,9330.4460161729,9330.4460161729,0.0000000000
2025-06-24,9885.8562256730,9885.8562256730,0.0000000000
2025-06-25,9622.8627790145,9622.8627790145,0.0000000000
2025-06-26,9419.3340510644,9419.3340510644,0.0000000000
2025-06-27,9430.9817794712,9430.9817794712,0.0000000000
2025-06-30,9443.2425462152,9443.2425462152,0.0000000000
2025-07-01,9575.0457887130,9575.0457887130,0.0000000000
2025-07-02,9036.1850903150,9036.1850903150,0.0000000000
2025-07-03,8916.6426145612,8916.6426145612,0.0000000000
2025-07-07,9419.3340510644,9419.3340510644,0.0000000000
2025-07-08,8904.3818478172,8904.3818478172,0.0000000000
2025-07-09,8808.7478672141,8808.7478672141,0.0000000000
2025-07-10,8545.7544205557,8545.7544205557,0.0000000000
2025-07-11,8593.5714108572,8593.5714108572,0.0000000000
2025-07-14,8832.6563623649,8832.6563623649,0.0000000000
2025-07-15,8593.5714108572,8593.5714108572,0.0000000000
2025-07-16,9141.4053808341,9141.4053808341,0.0000000000
2025-07-17,9052.5594289915,9052.5594289915,0.0000000000
2025-07-18,9065.5296409393,9065.5296409393,0.0000000000
2025-07-21,9027.2675156932,9027.2675156932,0.0000000000
2025-07-22,9407.2947257648,9407.2947257648,0.0000000000
2025-07-23,9572.0164175023,9572.0164175023,0.0000000000
2025-07-24,9660.2138587475,9660.2138587475,0.0000000000
2025-07-25,9685.5057720458,9685.5057720458,0.0000000000
2025-07-28,9153.7270821846,9153.7270821846,0.0000000000
2025-07-29,9116.1134675359,9116.1134675359,0.0000000000
2025-07-30,8938.4215638505,8938.4215638505,0.0000000000
2025-07-31,9837.4685569623,9837.4685569623,0.0000000000
2025-08-01,10599.9843893640,10599.9843893640,0.0000000000
2025-08-04,11002.9346267375,11002.9346267375,0.0000000000
2025-08-05,11230.0841448374,11230.0841448374,0.0000000000
2025-08-06,10987.2467479886,10987.2467479886,0.0000000000
2025-08-07,11450.0123533042,11450.0123533042,0.0000000000
2025-08-08,11775.3228283280,11775.3228283280,0.0000000000
2025-08-11,11729.5044515641,11729.5044515641,0.0000000000
2025-08-12,12824.5636562219,12824.5636562219,0.0000000000
2025-08-13,13403.7760178178,13403.7760178178,0.0000000000
2025-08-14,13362.4553898283,13362.4553898283,0.0000000000
2025-08-15,14290.9003086059,14290.9003086059,0.0000000000
2025-08-18,14374.4728250305,14374.4728250305,0.0000000000
2025-08-19,13700.6694113572,13700.6694113572,0.0000000000
2025-08-20,13470.8449911896,13470.8449911896,0.0000000000
2025-08-21,13235.7972887454,13235.7972887454,0.0000000000
2025-08-22,14488.4718982014,14488.4718982014,0.0000000000
2025-08-25,14409.2710678541,14409.2710678541,0.0000000000
2025-08-26,14747.1946106693,14747.1946106693,0.0000000000
2025-08-27,14873.9159392250,14873.9159392249,0.0000000000
2025-08-28,15058.7178767020,15058.7178767020,0.0000000000
2025-08-29,13743.9840929367,13743.9840929366,0.0000000000
2025-09-02,13326.8597197742,13326.8597197741,0.0000000000
2025-09-03,13147.3378376536,13147.3378376536,0.0000000000
2025-09-04,13538.0619340337,13538.0619340336,0.0000000000
2025-09-05,13960.4663625526,13960.4663625526,0.0000000000
2025-09-08,14293.1098500114,14293.1098500113,0.0000000000
2025-09-09,14345.9104035762,14345.9104035762,0.0000000000
2025-09-10,15095.6782641974,15095.6782641974,0.0000000000
2025-09-11,15396.6414195172,15396.6414195172,0.0000000000
2025-09-12,15462.1893919984,15462.1893919984,0.0000000000
2025-09-15,15094.4305242449,15094.4305242449,0.0000000000
2025-09-16,14800.7254899298,14800.7254899298,0.0000000000
2025-09-17,14849.6763289823,14849.6763289823,0.0000000000
2025-09-18,13330.9451686351,13330.9451686351,0.0000000000
2025-09-19,13550.5963695117,13550.5963695117,0.0000000000
2025-09-22,12938.0833064956,12938.0833064956,0.0000000000
2025-09-23,13027.1989365656,13027.1989365656,0.0000000000
2025-09-24,13077.4049253374,13077.4049253374,0.0000000000
2025-09-25,13904.1271682813,13904.1271682813,0.0000000000
2025-09-26,13826.2735569186,13826.2735569186,0.0000000000
2025-09-29,13826.2735569186,13826.2735569186,0.0000000000
2025-09-30,13460.7574493345,13460.7574493344,0.0000000000
2025-10-01,12758.7553943354,12758.7553943353,0.0000000000
2025-10-02,11977.5801752386,11977.5801752386,0.0000000000
2025-10-03,12211.1410093266,12211.1410093266,0.0000000000
2025-10-06,11118.5513447792,11118.5513447791,0.0000000000
2025-10-07,11846.9444544775,11846.9444544775,0.0000000000
2025-10-08,10648.7905711331,10648.7905711331,0.0000000000
2025-10-09,10779.4262918942,10779.4262918942,0.0000000000
2025-10-10,12860.4277176194,12860.4277176194,0.0000000000
2025-10-13,14710.8003363224,14710.8003363223,0.0000000000
2025-10-14,15654.6858039111,15654.6858039111,0.0000000000
2025-10-15,14222.0341279650,14222.0341279649,0.0000000000
2025-10-16,14046.7158140976,14046.7158140976,0.0000000000
2025-10-17,14186.6162867796,14186.6162867796,0.0000000000
2025-10-20,13488.8848154288,13488.8848154288,0.0000000000
2025-10-21,13697.8500784222,13697.8500784222,0.0000000000
2025-10-22,15236.1515738978,15236.1515738978,0.0000000000
2025-10-23,14149.5622677347,14149.5622677347,0.0000000000
2025-10-24,13495.0346992169,13495.0346992169,0.0000000000
2025-10-27,12334.9029696248,12334.9029696248,0.0000000000
2025-10-28,12298.1317579103,12298.1317579103,0.0000000000
2025-10-29,11717.1466128214,11717.1466128214,0.0000000000
2025-10-30,12152.8854716381,12152.8854716381,0.0000000000
2025-10-31,12044.4103970803,12044.4103970803,0.0000000000
2025-11-03,11862.3928990936,11862.3928990936,0.0000000000
2025-11-04,13238.6653405190,13238.6653405190,0.0000000000
2025-11-05,14677.5686598020,14677.5686598020,0.0000000000
2025-11-06,15858.6703156183,15858.6703156183,0.0000000000
2025-11-07,15390.3952330600,15390.3952330599,0.0000000000
2025-11-10,16577.6753636410,16577.6753636410,0.0000000000
2025-11-11,15416.2056706813,15416.2056706813,0.0000000000
2025-11-12,16116.7746918316,16116.7746918316,0.0000000000
2025-11-13,14461.2194786922,14461.2194786922,0.0000000000
2025-11-14,14328.4800852111,14328.4800852111,0.0000000000
2025-11-17,13583.6645995671,13583.6645995670,0.0000000000
2025-11-18,12665.5504613227,12665.5504613227,0.0000000000
2025-11-19,13475.5151532891,13475.5151532891,0.0000000000
2025-11-20,14389.3167898796,14389.3167898795,0.0000000000
2025-11-21,14818.9880474806,14818.9880474806,0.0000000000
2025-11-24,16747.8383669290,16747.8383669289,0.0000000000
2025-11-25,16892.6188993815,16892.6188993815,0.0000000000
2025-11-26,18370.4229215220,18370.4229215219,0.0000000000
2025-11-28,19340.7412539422,19340.7412539422,0.0000000000
2025-12-01,19364.1788948220,19364.1788948219,0.0000000000
2025-12-02,20531.3734106318,20531.3734106318,0.0000000000
2025-12-03,21834.5062435441,21834.5062435441,0.0000000000
2025-12-04,21168.8772425601,21168.8772425601,0.0000000000
2025-12-05,21797.0060181366,21797.0060181365,0.0000000000
2025-12-08,22495.4477163521,22495.4477163521,0.0000000000
2025-12-09,22401.6971528332,22401.6971528332,0.0000000000
2025-12-10,23273.5773935587,23273.5773935587,0.0000000000
2025-12-11,22870.4499704276,22870.4499704276,0.0000000000
2025-12-12,19551.6800218597,19551.6800218597,0.0000000000
2025-12-15,19303.2410285347,19303.2410285347,0.0000000000
2025-12-16,18979.8015843946,18979.8015843946,0.0000000000
2025-12-17,16879.7889615720,16879.7889615720,0.0000000000
2025-12-18,18562.5905845212,18562.5905845212,0.0000000000
2025-12-19,20073.3872261852,20073.3872261851,0.0000000000
2025-12-22,20814.3511841987,20814.3511841987,0.0000000000
2025-12-23,21026.0551722026,21026.0551722026,0.0000000000
2025-12-24,21271.4393401162,21271.4393401161,0.0000000000
2025-12-26,21271.4393401162,21271.4393401161,0.0000000000
2025-12-29,21083.7926234764,21083.7926234763,0.0000000000
2025-12-30,21011.6208093841,21011.6208093841,0.0000000000
2025-12-31,20222.5423086424,20222.5423086424,0.0000000000
2026-01-02,22724.7645773230,22724.7645773229,0.0000000000
2026-01-05,21815.7739942300,21815.7739942300,0.0000000000
2026-01-06,19667.2507978286,19667.2507978286,0.0000000000
2026-01-07,20245.6993507059,20245.6993507059,0.0000000000
2026-01-08,21456.1496526518,21456.1496526518,0.0000000000
2026-01-09,19702.9234164429,19702.9234164429,0.0000000000
2026-01-12,19368.9755619269,19368.9755619269,0.0000000000
2026-01-13,18951.5407437820,18951.5407437819,0.0000000000
2026-01-14,19035.0277074110,19035.0277074109,0.0000000000
2026-01-15,18116.6711074920,18116.6711074920,0.0000000000
2026-01-16,17448.7753984600,17448.7753984600,0.0000000000
2026-01-20,18116.6711074920,18116.6711074920,0.0000000000
2026-01-21,16446.9318349121,16446.9318349121,0.0000000000
2026-01-22,16363.4448712831,16363.4448712831,0.0000000000
2026-01-23,16864.3666530571,16864.3666530571,0.0000000000
2026-01-26,17198.3145075731,17198.3145075730,0.0000000000
2026-01-27,15946.0100531381,15946.0100531381,0.0000000000
2026-01-28,14693.7055987032,14693.7055987032,0.0000000000
2026-01-29,15951.1681968064,15951.1681968064,0.0000000000
2026-01-30,17854.4325839253,17854.4325839253,0.0000000000
2026-02-02,16766.8529341431,16766.8529341431,0.0000000000
2026-02-03,18648.2609685694,18648.2609685694,0.0000000000
2026-02-04,21888.8694878281,21888.8694878281,0.0000000000
2026-02-05,21913.5608239678,21913.5608239678,0.0000000000
2026-02-06,25406.4183185799,25406.4183185799,0.0000000000
2026-02-09,24591.2391211923,24591.2391211923,0.0000000000
2026-02-10,24727.1023207569,24727.1023207569,0.0000000000
2026-02-11,22825.0175268525,22825.0175268525,0.0000000000
2026-02-12,24591.2391211923,24591.2391211923,0.0000000000
2026-02-13,23911.9231233693,23911.9231233693,0.0000000000
2026-02-17,25425.7880283292,25425.7880283292,0.0000000000
2026-02-18,24563.8969087249,24563.8969087248,0.0000000000
2026-02-19,25133.4637929830,25133.4637929829,0.0000000000
2026-02-20,25852.6666798531,25852.6666798531,0.0000000000
2026-02-23,26460.9647193791,26460.9647193791,0.0000000000
2026-02-24,25244.3686403272,25244.3686403271,0.0000000000
2026-02-25,24179.8470711567,24179.8470711567,0.0000000000
2026-02-26,26969.5821069115,26969.5821069115,0.0000000000
2026-02-27,28067.1813787045,28067.1813787044,0.0000000000
2026-03-02,28067.1813787045,28067.1813787044,0.0000000000
2026-03-03,32570.2316890060,32570.2316890060,0.0000000000
2026-03-04,30514.8287183406,30514.8287183406,0.0000000000
2026-03-05,32919.3899744034,32919.3899744034,0.0000000000
2026-03-06,37083.3494914238,37083.3494914237,0.0000000000
2026-03-09,41288.0391497748,41288.0391497748,0.0000000000
2026-03-10,43838.0140415835,43838.0140415835,0.0000000000
2026-03-11,45033.5680879917,45033.5680879917,0.0000000000
2026-03-12,49821.7724616854,49821.7724616854,0.0000000000
2026-03-13,50257.7625150494,50257.7625150493,0.0000000000
2026-03-16,54058.2955502545,54058.2955502545,0.0000000000
2026-03-17,55326.9387313557,55326.9387313556,0.0000000000
2026-03-18,54390.5592405429,54390.5592405429,0.0000000000
2026-03-19,55226.2527646016,55226.2527646016,0.0000000000
